date,platform,campaign_name,ad_set,country,impressions,reach,clicks,likes,comments,shares,conversions,ad_spend,revenue,CTR,Engagement rate,ROI
12-02-2022,Instagram,Lead Generation,Professionals,Canada,36208,27672,766,1061,352,497,254,203.74,4440.32,2.12%,5.28%,2079.41%
13-02-2022,Instagram,Lead Generation,Adults,UK,35335,874,4186,1306,153,279,480,248.13,2525.46,11.85%,4.92%,917.80%
14-02-2022,Instagram,Brand Awareness,Youth,Canada,40779,25808,3449,2071,158,200,342,111.56,3083.63,8.46%,5.96%,2664.10%
15-02-2022,Facebook,Brand Awareness,Professionals,India,15904,9358,3086,2301,68,266,158,875.32,434.45,19.40%,16.57%,-50.37%
15-02-2022,Facebook,Festive Sale,Adults,India,5711,29165,4113,2908,106,193,437,854.58,4221.46,72.02%,56.15%,393.98%
15-02-2022,Instagram,Brand Awareness,Adults,Canada,4815,38059,3733,982,312,794,155,270.94,2301.93,77.53%,43.36%,749.61%
16-02-2022,Instagram,Lead Generation,Adults,USA,22637,4582,4262,2913,69,138,15,513.91,799.14,18.83%,13.78%,55.50%
16-02-2022,Instagram,Brand Awareness,Youth,Australia,46158,1200,4692,2103,279,549,285,818.91,2405.19,10.17%,6.35%,193.71%
17-02-2022,Facebook,Brand Awareness,Students,UK,42984,20443,705,275,406,732,38,716.91,4876.75,1.64%,3.29%,580.25%
17-02-2022,Facebook,Product Launch,Youth,UK,39885,23795,2942,36,162,789,495,473.16,1005.03,7.38%,2.47%,112.41%
18-02-2022,Facebook,Lead Generation,Professionals,Australia,45825,5381,2887,243,48,270,391,469.19,2070.92,6.30%,1.22%,341.38%
19-02-2022,Facebook,Product Launch,Students,UK,22209,34598,2471,2265,145,134,481,47.62,1897.65,11.13%,11.45%,3884.99%
21-02-2022,Instagram,Brand Awareness,Youth,UK,17766,13836,4860,287,454,548,354,774.43,409.79,27.36%,7.26%,-47.08%
22-02-2022,Instagram,Product Launch,Students,USA,8465,29601,1459,2832,274,470,236,90.47,863.11,17.24%,42.24%,854.03%
23-02-2022,Instagram,Lead Generation,Adults,India,16792,15642,931,1314,254,171,53,85.85,3746.27,5.54%,10.36%,4263.74%
24-02-2022,Instagram,Product Launch,Adults,UK,2230,23354,60,2350,208,559,199,435.58,961.44,2.69%,139.78%,120.73%
26-02-2022,Facebook,Lead Generation,Professionals,India,25648,18309,2196,2205,314,108,499,419.93,3992.92,8.56%,10.24%,850.85%
27-02-2022,Facebook,Lead Generation,Youth,Australia,18719,38328,3249,1431,79,756,106,153.03,2199.47,17.36%,12.11%,1337.28%
28-02-2022,Instagram,Brand Awareness,Professionals,Australia,42004,6085,4713,1004,99,216,162,278.03,1863.96,11.22%,3.14%,570.42%
28-02-2022,Facebook,Product Launch,Youth,UK,16581,18851,3055,1011,187,79,169,454.86,3392.85,18.42%,7.70%,645.91%
01-03-2022,Facebook,Festive Sale,Professionals,USA,49091,24044,4286,2428,120,259,47,308.76,141.25,8.73%,5.72%,-54.25%
02-03-2022,Facebook,Lead Generation,Youth,Australia,20267,37701,3463,1506,210,14,92,469.14,768.9,17.09%,8.54%,63.90%
02-03-2022,Instagram,Lead Generation,Professionals,USA,27660,24151,3982,1046,433,431,150,542.54,2362.51,14.40%,6.91%,335.45%
03-03-2022,Instagram,Brand Awareness,Adults,USA,16728,3635,1054,885,374,110,242,268.46,975.2,6.30%,8.18%,263.26%
04-03-2022,Instagram,Brand Awareness,Students,USA,15626,15174,607,1965,433,463,129,256.2,3598.58,3.88%,18.31%,1304.60%
06-03-2022,Facebook,Product Launch,Professionals,USA,49947,39565,2565,2084,218,642,245,315.31,4498.53,5.14%,5.89%,1326.70%
06-03-2022,Facebook,Product Launch,Youth,UK,12831,9336,257,1142,5,549,177,986.49,145.56,2.00%,13.22%,-85.24%
06-03-2022,Instagram,Festive Sale,Youth,USA,20122,5157,4832,712,355,609,148,658.47,394.43,24.01%,8.33%,-40.10%
08-03-2022,Instagram,Festive Sale,Students,Canada,33567,38001,4667,317,101,419,190,810.28,1840.14,13.90%,2.49%,127.10%
10-03-2022,Instagram,Lead Generation,Youth,Canada,19196,11566,3709,428,336,189,302,175.94,4795.78,19.32%,4.96%,2625.80%
12-03-2022,Instagram,Brand Awareness,Students,Canada,40405,11350,1913,2780,216,230,189,363.23,4987.04,4.73%,7.98%,1272.97%
12-03-2022,Instagram,Product Launch,Students,UK,28718,15152,3906,2056,293,754,321,397.78,1048.91,13.60%,10.81%,163.69%
13-03-2022,Instagram,Brand Awareness,Youth,USA,32376,37639,374,2292,220,341,328,952.78,366.19,1.16%,8.81%,-61.57%
13-03-2022,Facebook,Festive Sale,Adults,UK,41162,37170,1704,2077,75,741,136,701.25,2632.99,4.14%,7.03%,275.47%
14-03-2022,Instagram,Festive Sale,Adults,Australia,18864,33208,1292,2697,262,519,271,597.34,2477.87,6.85%,18.44%,314.82%
14-03-2022,Instagram,Festive Sale,Students,Canada,2172,18833,121,2023,52,275,361,99.68,519.91,5.57%,108.20%,421.58%
15-03-2022,Instagram,Lead Generation,Students,USA,16372,7652,3183,2222,431,133,415,373,2261.83,19.44%,17.02%,506.39%
15-03-2022,Facebook,Festive Sale,Professionals,UK,14180,6374,4737,371,35,27,109,943.73,794.21,33.41%,3.05%,-15.84%
17-03-2022,Facebook,Brand Awareness,Professionals,Australia,41205,6377,485,1072,357,460,395,352.13,4133.45,1.18%,4.58%,1073.84%
17-03-2022,Instagram,Lead Generation,Youth,Canada,29481,12560,4558,2070,396,248,324,865.23,2671.34,15.46%,9.21%,208.74%
18-03-2022,Instagram,Brand Awareness,Adults,Canada,24817,5500,721,539,189,789,187,652.01,3083.63,2.91%,6.11%,372.94%
20-03-2022,Instagram,Festive Sale,Youth,USA,16479,30625,4348,2972,214,147,224,568.8,2598.1,26.39%,20.23%,356.77%
22-03-2022,Instagram,Festive Sale,Students,USA,31859,27551,184,385,428,166,198,340.87,516.85,0.58%,3.07%,51.63%
26-03-2022,Facebook,Lead Generation,Professionals,USA,12772,7040,3987,1267,16,756,269,569.16,2954.44,31.22%,15.96%,419.09%
26-03-2022,Instagram,Product Launch,Adults,USA,33353,21395,1132,2421,156,108,239,431.5,4846.06,3.39%,8.05%,1023.07%
26-03-2022,Facebook,Product Launch,Youth,UK,12991,8983,3901,1283,74,344,122,41.14,3609.9,30.03%,13.09%,8674.67%
27-03-2022,Facebook,Festive Sale,Youth,India,22665,15491,4527,567,28,285,1,517.56,445.16,19.97%,3.88%,-13.99%
28-03-2022,Instagram,Festive Sale,Students,Canada,42950,9393,1553,713,289,631,78,767.41,1443.92,3.62%,3.80%,88.15%
29-03-2022,Facebook,Lead Generation,Students,UK,49669,4549,4290,1840,463,715,37,328.16,1688,8.64%,6.08%,414.38%
29-03-2022,Facebook,Product Launch,Adults,Australia,41801,23172,942,2310,393,60,122,747.68,3594.65,2.25%,6.61%,380.77%
30-03-2022,Instagram,Product Launch,Adults,India,28773,4680,3722,519,468,747,220,321.33,883.62,12.94%,6.03%,174.99%
30-03-2022,Facebook,Lead Generation,Students,Canada,29899,26828,2566,2810,26,52,58,316.46,2853.63,8.58%,9.66%,801.73%
30-03-2022,Instagram,Festive Sale,Professionals,Canada,4626,3072,1261,2581,133,574,53,432.93,3155.26,27.26%,71.08%,628.82%
01-04-2022,Instagram,Lead Generation,Adults,UK,49474,11731,1864,2189,364,568,398,512.82,1365.44,3.77%,6.31%,166.26%
01-04-2022,Instagram,Brand Awareness,Students,UK,16696,17843,1119,1433,10,632,337,420.93,197.41,6.70%,12.43%,-53.10%
03-04-2022,Facebook,Product Launch,Professionals,Australia,31851,17051,1951,2667,110,229,335,620.31,2311.63,6.13%,9.44%,272.66%
03-04-2022,Facebook,Product Launch,Adults,India,21786,14134,2603,544,484,302,214,199.97,2124.02,11.95%,6.10%,962.17%
06-04-2022,Facebook,Brand Awareness,Students,USA,46240,39090,4337,981,195,289,467,536.84,3102.73,9.38%,3.17%,477.96%
06-04-2022,Instagram,Product Launch,Students,Australia,45755,34488,1740,1610,356,382,153,631.16,4723.66,3.80%,5.13%,648.41%
06-04-2022,Facebook,Lead Generation,Youth,USA,1877,33759,3981,661,366,200,200,658.36,2460.36,212.09%,65.37%,273.71%
09-04-2022,Instagram,Product Launch,Students,USA,40094,9199,2542,1229,19,105,380,214.45,501.69,6.34%,3.37%,133.94%
10-04-2022,Instagram,Festive Sale,Youth,USA,25277,28618,4194,481,442,127,36,232.79,4857.53,16.59%,4.15%,1986.66%
12-04-2022,Instagram,Festive Sale,Professionals,USA,1495,24911,3913,2783,333,362,146,296.03,155.87,261.74%,232.64%,-47.35%
13-04-2022,Instagram,Brand Awareness,Adults,USA,39867,34182,1854,624,289,420,272,333.93,3539.24,4.65%,3.34%,959.87%
14-04-2022,Instagram,Brand Awareness,Adults,Canada,24185,10047,4293,2010,257,307,18,180.93,1814.95,17.75%,10.64%,903.12%
16-04-2022,Instagram,Product Launch,Students,USA,36709,29200,4746,2065,81,94,145,554.49,4226.16,12.93%,6.10%,662.17%
16-04-2022,Facebook,Lead Generation,Professionals,USA,42662,14550,480,249,192,598,426,181.47,2425.92,1.13%,2.44%,1236.82%
17-04-2022,Instagram,Festive Sale,Professionals,Canada,12332,2331,2490,2859,9,67,327,681.4,2595.92,20.19%,23.80%,280.97%
17-04-2022,Facebook,Product Launch,Adults,USA,37323,31398,3417,2615,9,62,146,218.32,1768.48,9.16%,7.20%,710.04%
18-04-2022,Instagram,Product Launch,Adults,UK,15820,4781,79,2703,437,107,459,515.89,4953.3,0.50%,20.52%,860.15%
18-04-2022,Facebook,Lead Generation,Professionals,Australia,40520,15229,2684,1604,84,537,399,181.19,4849.38,6.62%,5.49%,2576.41%
20-04-2022,Facebook,Lead Generation,Professionals,India,14016,22159,2295,101,461,518,372,119.94,2808.86,16.37%,7.71%,2241.89%
20-04-2022,Instagram,Festive Sale,Professionals,USA,20423,9258,4626,1547,158,50,2,292.25,2077.01,22.65%,8.59%,610.70%
20-04-2022,Facebook,Lead Generation,Adults,India,49780,36254,4001,2962,226,183,35,526.06,2831.4,8.04%,6.77%,438.23%
21-04-2022,Instagram,Festive Sale,Professionals,Canada,19987,1355,550,1964,248,501,331,208.96,3015,2.75%,13.57%,1342.86%
22-04-2022,Instagram,Lead Generation,Adults,Canada,32973,4470,272,1027,302,129,261,226.09,2379.18,0.82%,4.42%,952.32%
24-04-2022,Facebook,Product Launch,Students,Australia,18272,36307,810,580,462,578,83,434.06,2173.79,4.43%,8.87%,400.80%
27-04-2022,Instagram,Product Launch,Students,UK,30491,10900,1023,1858,259,37,333,107.45,4190.03,3.36%,7.06%,3799.52%
28-04-2022,Facebook,Brand Awareness,Professionals,Australia,35635,29518,338,555,461,798,432,138.89,3124.61,0.95%,5.09%,2149.70%
28-04-2022,Facebook,Product Launch,Students,Canada,6801,8566,3530,2638,34,335,494,974.5,4294.2,51.90%,44.21%,340.66%
29-04-2022,Instagram,Product Launch,Students,Australia,22811,28674,4555,1358,303,71,172,281.43,760.71,19.97%,7.59%,170.30%
30-04-2022,Instagram,Brand Awareness,Students,UK,23499,16396,1717,1845,88,74,312,190.84,3557.67,7.31%,8.54%,1764.22%
30-04-2022,Facebook,Product Launch,Students,Canada,36427,9497,3482,572,266,619,113,191.06,56.6,9.56%,4.00%,-70.38%
30-04-2022,Facebook,Festive Sale,Youth,USA,30412,24090,1536,265,458,358,271,746.3,1311.67,5.05%,3.55%,75.76%
02-05-2022,Instagram,Lead Generation,Adults,India,33924,5592,4661,1275,247,461,178,145.69,4605.93,13.74%,5.85%,3061.46%
03-05-2022,Facebook,Product Launch,Adults,USA,29132,2108,3351,591,92,677,352,437.4,2926.87,11.50%,4.67%,569.15%
03-05-2022,Facebook,Lead Generation,Adults,Canada,49421,27539,4334,326,175,76,405,883.57,3453.63,8.77%,1.17%,290.87%
03-05-2022,Instagram,Lead Generation,Youth,Australia,10111,11418,1038,407,210,216,258,957,4964.87,10.27%,8.24%,418.80%
04-05-2022,Instagram,Lead Generation,Youth,USA,37536,35600,3449,130,388,418,486,721.06,2257.53,9.19%,2.49%,213.08%
04-05-2022,Facebook,Festive Sale,Students,USA,27655,29610,1929,356,83,19,478,249.91,862.87,6.98%,1.66%,245.27%
08-05-2022,Facebook,Festive Sale,Adults,Australia,29666,18057,1476,2563,185,295,477,532.63,4475.57,4.98%,10.26%,740.28%
09-05-2022,Instagram,Lead Generation,Professionals,India,23504,30099,3231,1655,151,653,247,575.04,1850.93,13.75%,10.46%,221.88%
09-05-2022,Instagram,Brand Awareness,Youth,Australia,23614,35240,2109,1800,305,554,357,241.06,247.04,8.93%,11.26%,2.48%
09-05-2022,Instagram,Lead Generation,Adults,UK,7310,19282,282,1147,279,333,95,423.35,1240.53,3.86%,24.06%,193.03%
12-05-2022,Facebook,Lead Generation,Adults,Australia,34302,17861,158,2898,291,620,7,925.37,1174.28,0.46%,11.10%,26.90%
15-05-2022,Instagram,Lead Generation,Students,USA,33786,4571,2231,268,41,791,370,674.93,3963.76,6.60%,3.26%,487.28%
17-05-2022,Instagram,Brand Awareness,Youth,India,44002,21600,4017,1414,391,704,159,766.92,2083.67,9.13%,5.70%,171.69%
18-05-2022,Facebook,Product Launch,Adults,India,41633,28501,1334,2643,473,338,154,209.69,1813.43,3.20%,8.30%,764.81%
18-05-2022,Facebook,Brand Awareness,Adults,Canada,36897,18061,673,898,478,406,8,343.56,4664.73,1.82%,4.83%,1257.76%
20-05-2022,Facebook,Product Launch,Professionals,UK,31225,12978,966,623,111,285,144,972.32,4446.13,3.09%,3.26%,357.27%
21-05-2022,Facebook,Festive Sale,Youth,UK,1143,39127,2146,1229,281,176,319,138.11,2622.73,187.75%,147.51%,1799.02%
23-05-2022,Instagram,Brand Awareness,Youth,USA,43058,23680,4337,2896,132,284,146,90.38,186.77,10.07%,7.69%,106.65%
23-05-2022,Facebook,Festive Sale,Adults,Australia,30968,11025,4419,601,175,77,490,157.6,4670.95,14.27%,2.75%,2863.80%
24-05-2022,Facebook,Festive Sale,Adults,Australia,7727,16698,3533,1535,24,439,271,494.67,562.31,45.72%,25.86%,13.67%
25-05-2022,Instagram,Product Launch,Youth,India,6190,12922,3861,2609,130,76,492,203.88,1147.24,62.37%,45.48%,462.70%
25-05-2022,Instagram,Product Launch,Adults,UK,4587,16575,1740,2695,256,345,321,616.94,3123.33,37.93%,71.86%,406.26%
26-05-2022,Instagram,Festive Sale,Adults,Canada,45130,15973,1830,1816,466,643,449,900.76,1812.64,4.05%,6.48%,101.23%
28-05-2022,Instagram,Festive Sale,Students,India,36489,31344,780,1720,345,721,79,482.03,3649.85,2.14%,7.64%,657.18%
28-05-2022,Facebook,Festive Sale,Adults,UK,3895,36783,4444,176,175,510,55,794.3,1708.49,114.09%,22.11%,115.09%
28-05-2022,Instagram,Lead Generation,Youth,UK,1786,29456,4949,2959,173,119,57,355.5,2440.62,277.10%,182.03%,586.53%
30-05-2022,Facebook,Lead Generation,Professionals,Australia,23486,35289,609,2190,387,624,75,923.94,2573.4,2.59%,13.63%,178.52%
31-05-2022,Instagram,Festive Sale,Professionals,Canada,11891,10293,1307,635,324,320,87,914.68,1437.95,10.99%,10.76%,57.21%
31-05-2022,Facebook,Festive Sale,Professionals,Australia,40895,30515,956,1737,400,658,211,864.81,4768.61,2.34%,6.83%,451.41%
31-05-2022,Facebook,Brand Awareness,Students,Canada,30087,11817,3866,2828,448,487,461,430.62,3250.66,12.85%,12.51%,654.88%
02-06-2022,Instagram,Lead Generation,Youth,Canada,42932,3111,2241,1611,171,441,176,718.52,3086.61,5.22%,5.18%,329.58%
02-06-2022,Facebook,Festive Sale,Students,UK,16474,13246,3217,301,182,268,413,358.91,4724.44,19.53%,4.56%,1216.33%
02-06-2022,Instagram,Festive Sale,Professionals,Canada,3716,24169,1899,829,191,731,203,691.23,2830.08,51.10%,47.12%,309.43%
02-06-2022,Facebook,Festive Sale,Professionals,UK,35765,33959,3390,920,47,765,166,665.81,2964.02,9.48%,4.84%,345.18%
03-06-2022,Facebook,Festive Sale,Students,Australia,17378,37866,3553,1639,406,356,443,596.56,2005.99,20.45%,13.82%,236.26%
04-06-2022,Facebook,Festive Sale,Professionals,Australia,24649,2649,2160,2248,350,8,3,173.01,3387.47,8.76%,10.57%,1857.96%
04-06-2022,Facebook,Lead Generation,Students,UK,5582,8710,4579,2604,16,575,162,146.65,57.02,82.03%,57.24%,-61.12%
04-06-2022,Instagram,Festive Sale,Professionals,Canada,12620,12145,1482,1393,465,711,302,175.69,482.79,11.74%,20.36%,174.80%
06-06-2022,Instagram,Brand Awareness,Youth,Canada,4228,15581,2510,824,277,384,105,492.57,1246.27,59.37%,35.12%,153.01%
